ARA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
560001;Head of State;Faruq I;1933;1964;1964;SC;Insignificant Layman;High;M512011;X
560002;Head of Government;Mustafa an-Nahhas Pasha;1933;1964;1964;SC;Flamboyant Tough Guy;High;M512005;X
560003;Foreign Minister;Ali Mahir Pasha;1933;1964;1964;SC;Great Compromiser;High;M512002;X
560004;Minister of Armament;Muhammad Mahmoud Pasha;1933;1964;1964;SC;Resource Industrialist;High;M512017;X
560005;Minister of Security;Romarcos Hanna Pasha;1933;1964;1964;SC;Crime Fighter;Medium;M512064;X
560006;Head of Military Intelligence;Mohammed Hilmi Issa;1933;1964;1964;SC;Dismal Enigma;Medium;M512006;X
560007;Chief of Staff;Hassan Sabry Pasha;1933;1964;1964;SC;School of Defence;Medium;M512007;X
560008;Chief of Army;Mohammed Naguib;1933;1964;1964;SC;Decisive Battle Doctrine;High;M512088;X
560009;Chief of Navy;Abdallah Ziwar Pasha;1933;1964;1964;SC;Indirect Approach Doctrine;Medium;M512009;X
560010;Chief of Air Force;Abdelhamid Soliman;1933;1964;1964;SC;Air Superiority Doctrine;Medium;M512048;X
560011;Head of State;Emile Eddeh;1933;1964;1964;PA;Pig-headed Isolationist;High;M529001;X
560012;Head of State;H.M. Abdullah I;1933;1964;1964;SD;Autocratic Charmer;High;M556001;X
560013;Head of State;Muhammed Bey al-Abid;1933;1964;1964;LE;Stern Imperialist;High;M528001;X
560014;Head of Government;Kayreddin al-Ahdab;1933;1964;1964;PA;Naive Optimist;High;M529006;X
560015;Head of Government;Ismael Bey Gaspirali;1933;1964;1964;SD;Silent Workhorse;High;M556013;X
560016;Head of Government;Shukri al-Kuwaitli;1933;1964;1964;LE;Backroom Backstabber;High;M528015;X
560017;Foreign Minister;Abdallah Aref al-Yafi;1933;1964;1964;PA;General Staffer;High;M529003;X
560018;Foreign Minister;Samir al-Rifai;1933;1964;1964;SD;Apologetic Clerk;High;M556003;X
560019;Foreign Minister;Faris al-Khouri;1933;1964;1964;LE;The Cloak N Dagger Schemer;High;M528004;X
560020;Minister of Armament;Kayreddin al-Ahdab;1933;1964;1964;PA;laissez-faire capitalist;Medium;M529006;X
560021;Minister of Armament;Ahmad Qadri;1933;1964;1964;SD;Military Entrepreneur;Medium;M556017;X
560022;Minister of Armament;Shaykh Abd al-Alim Selim;1933;1964;1964;LE;Administrative Genius;Medium;M528030;X
